id,object_name,chain,object_type,address,number,number_original,object_type_short,street,street_length
205251,МАСТЕР КОНДИТЕР,False,кафетерий,"город Москва, улица Сергея Эйзенштейна, дом 6",9.0,0,кафетерий,улица Сергея Эйзенштейна,24
199990,Шаурма,False,магазин (отдел кулинарии),"город Москва, Дубравная улица, дом 40",8.5,0,магазин,Дубравная улица,15
221535,Напитки,False,бар,"город Москва, улица Кузнецкий Мост, дом 19, строение 1",30.0,30,бар,улица Кузнецкий Мост,20
222070,Шаурма,False,закусочная,"город Москва, Таллинская улица, дом 26",10.0,0,закусочная,Таллинская улица,16
211896,Чеддер паб,False,бар,"город Москва, Люблинская улица, дом 175",55.0,55,бар,Люблинская улица,16
211906,Суши Шоп,False,кафе,"город Москва, Люблинская улица, дом 175",15.0,15,кафе,Люблинская улица,16
217925,Восточный дворик,False,ресторан,"город Москва, Жулебинский бульвар, дом 9",95.0,95,ресторан,Жулебинский бульвар,19
218587,Nargilia Loft. Кальянная. Центр паровых коктелей,False,кафе,"город Москва, Жулебинский бульвар, дом 9",30.0,30,кафе,Жулебинский бульвар,19
204986,Ля Фантазия,False,кафе,"город Москва, Большая Серпуховская улица, дом 31, корпус 11",4.0,4,кафе,Большая Серпуховская улица,26
210755,Пекарня,False,кафетерий,"город Москва, Ярославское шоссе, дом 28",5.0,5,кафетерий,Ярославское шоссе,17
206955,Чайхана Восток,False,кафе,"город Москва, Новомарьинская улица, дом 14/15",30.0,30,кафе,Новомарьинская улица,20
212514,Пицца экспрес,False,закусочная,"город Москва, Новомарьинская улица, дом 4",15.0,15,закусочная,Новомарьинская улица,20
212678,Шаурма,False,закусочная,"город Москва, улица Перерва, дом 56/2",10.0,0,закусочная,улица Перерва,13
210843,Шепоты и крики,False,кафе,"город Москва, Лермонтовский проспект, дом 10, корпус 1",90.0,90,кафе,Лермонтовский проспект,22
210703,Шаурма Hardy Street Food,False,закусочная,"город Москва, Братиславская улица, дом 12",10.0,0,закусочная,Братиславская улица,19
215947,Шаурма,False,закусочная,"город Москва, Хабаровская улица, дом 8",10.0,0,закусочная,Хабаровская улица,17
212636,Bar Dag,False,бар,"город Москва, Новомарьинская улица, дом 15",15.0,15,бар,Новомарьинская улица,20
220771,Ля Фа,False,ресторан,"город Москва, Братиславская улица, дом 29, корпус 1",32.0,32,ресторан,Братиславская улица,19
210737,Алко-24-бар,False,бар,"город Москва, Братиславская улица, дом 16, корпус 1",10.0,10,бар,Братиславская улица,19
210480,Шаурма,False,закусочная,"город Москва, Братиславская улица, дом 14",10.0,0,закусочная,Братиславская улица,19
210491,Шаурма с собой,False,закусочная,"город Москва, Братиславская улица, дом 14",10.0,0,закусочная,Братиславская улица,19
214466,Столовая Кулинария,False,столовая,"город Москва, Братиславская улица, дом 14",20.0,20,столовая,Братиславская улица,19
211818,Пончики,False,кафе,"город Москва, Люблинская улица, дом 163/1",10.0,10,кафе,Люблинская улица,16
211895,Hookah Maryino,False,бар,"город Москва, Люблинская улица, дом 163/1",20.0,20,бар,Люблинская улица,16
211646,Пицца дон Тано,False,кафе,"город Москва, Братиславская улица, дом 31, корпус 1",14.0,14,кафе,Братиславская улица,19
212415,Кафетерий,False,кафетерий,"город Москва, Южнопортовая улица, дом 18",2.0,2,кафетерий,Южнопортовая улица,18
207979,Шаурма,False,закусочная,"город Москва, Южнопортовая улица, дом 18",10.0,0,закусочная,Южнопортовая улица,18
223092,Пивбар,False,бар,"город Москва, Южнопортовая улица, дом 18",6.0,6,бар,Южнопортовая улица,18
213804,Саламури,False,ресторан,"город Москва, Люблинская улица, дом 51",35.0,35,ресторан,Люблинская улица,16
208236,Kuzina,False,кафе,"город Москва, Братиславская улица, дом 13, корпус 1",8.0,8,кафе,Братиславская улица,19
219800,Клуб Кафе Караоке Labиринт,False,кафе,"город Москва, Жулебинский бульвар, дом 36, корпус 1",45.0,45,кафе,Жулебинский бульвар,19
213854,Магазин Японской кухни,False,закусочная,"город Москва, Белореченская улица, дом 43",10.0,10,закусочная,Белореченская улица,19
220986,Гранат,False,столовая,"город Москва, улица Верхние Поля, дом 34, корпус 2",15.0,15,столовая,улица Верхние Поля,18
212189,Кафетерий ДОС,False,кафе,"город Москва, Ташкентская улица, дом 34, корпус 5",12.0,12,кафе,Ташкентская улица,17
216729,Маленькая пекарня,False,кафе,"город Москва, Ломоносовский проспект, дом 23",2.0,2,кафе,Ломоносовский проспект,22
212002,Грузинская кухня,False,предприятие быстрого обслуживания,"город Москва, Азовская улица, дом 21",8.0,8,фастфуд,Азовская улица,14
209717,Лаборатория LOUNGE,False,бар,"город Москва, улица Дмитрия Ульянова, дом 5",64.0,64,бар,улица Дмитрия Ульянова,22
217143,Малетон,False,кафе,"город Москва, улица Гарибальди, дом 36",40.0,40,кафе,улица Гарибальди,16
213588,Бавария №1. Крафт бар,False,закусочная,"город Москва, Привольная улица, дом 65/32",5.0,5,закусочная,Привольная улица,16
206234,ПаБ,False,бар,"город Москва, улица Барышиха, дом 22, корпус 1",30.0,30,бар,улица Барышиха,14
220417,Koffee Moose,False,кафе,"город Москва, проспект Маршала Жукова, дом 58, корпус 1",35.0,0,кафе,проспект Маршала Жукова,23
208682,Музей Шоколада,False,ресторан,"город Москва, Воротынская улица, дом 7",10.0,10,ресторан,Воротынская улица,17
205034,Еда Бар Нам,False,кафе,"город Москва, Ленинградский проспект, дом 69, строение 1",30.0,30,кафе,Ленинградский проспект,22
205536,Кальянная «Огни Баку Лаунж»,False,кафе,"город Москва, Варшавское шоссе, дом 152, корпус 2",25.0,25,кафе,Варшавское шоссе,16
223333,Шаурмастер,False,предприятие быстрого обслуживания,"город Москва, площадь Тверская Застава, дом 3",20.0,0,фастфуд,площадь Тверская Застава,24
223336,Донер Кебаб,False,предприятие быстрого обслуживания,"город Москва, площадь Тверская Застава, дом 3",20.0,0,фастфуд,площадь Тверская Застава,24
223389,"Перня, шаурма",False,кафе,"город Москва, улица Красная Пресня, дом 23, корпус Б, строение 1",5.0,5,кафе,улица Красная Пресня,20
221771,Винный бар,False,бар,"город Москва, улица Пречистенка, дом 40/2, строение 1",49.0,49,бар,улица Пречистенка,17
218622,Буханка,False,кафетерий,"город Москва, Вересковая улица, дом 1, корпус 1",8.0,8,кафетерий,Вересковая улица,16
221574,Volt coffee,False,кафетерий,"город Москва, Высоковольтный проезд, дом 1, корпус 1",9.0,0,кафетерий,Высоковольтный проезд,21
223090,W.H. Lounge,False,бар,"город Москва, Авиационная улица, дом 66",53.0,53,бар,Авиационная улица,17
